MATH,212,3,Rice,Taken
BIOE,330,3,Rice,Taken
ELEC,243,4,Rice,Taken
BIOE,320,1,Rice,Taken
BIOE,322,3,Rice,Taken
DIST,104,3,Rice,Taken
