Business,,Hours,DII
BUSI 296,Business Communications,3,1
BUSI 305,Financial Accounting,3,1
BUSI 310,Leading People in Organizations,3,
BUSI 343,Financial Management,3,
BUSI 380,Marketing,3,1
BUSI 471,Strategic Management,3,
