Air Force Science,,Hours
AFSC 101,Foundation of the USAF I,2
AFSC 102,Foundation of the USAF II,2
AFSC 201,Evolution of Air Power I,2
AFSC 202,Evolution of Air Power II,2
AFSC 301,Air Force Leadership Study I,3
AFSC 302,Air Force Leadership Study II,3
AFSC 381,Field Training,8
AFSC 401,National Security Affairs I,3
AFSC 402,National Security Affairs II,3
