Tibetan,,Hours
TIBT 131,,3
TIBT 132,,3
TIBT 233,"Tibetan Language, Literature and Culture I",3
TIBT 234,"Tibetan Language, Literature and Culture II",3
TIBT 332,Advanced Tibetan Language and Culture,3
