Latin American Studies,,Hours,DI
LASR 158,Introduction to Latin American Studies,3,1
LASR 373,Women's Social Movements in Latin America and the Caribbean,3,
LASR 374,Feminist and Queer Theory in the African Diaspora,3,
LASR 375,Latina and African American Women's Activism in the Urban Metropolis,3,
LASR 376,Chicana and Latina Immigrant Experience,3,
